-69, -395, 943
-69, -395, 943
-63, -519, 1029
-23, -638, 1083
10, -704, 1080
36, -701, 1034
65, -774, 1052
46, -817, 1096
18, -840, 1133
0, -841, 1153
0, -841, 1153
-3, -840, 1161
-56, -840, 1193
-137, -836, 1293
-209, -793, 1380
-239, -727, 1353
-280, -611, 1306
-362, -499, 1332
-418, -382, 1365
-387, -343, 1333
-348, -370, 1230
-294, -353, 1036
-247, -338, 869
-203, -353, 808
-191, -329, 724
-135, -289, 520
-96, -279, 392
-68, -280, 288
-68, -280, 288
-43, -284, 253
-66, -307, 298
-109, -299, 339
-97, -326, 321
-,-,-
-686, 594, 885
-671, 606, 887
-671, 606, 887
-697, 618, 906
-719, 582, 1004
-655, 569, 941
-681, 646, 927
-739, 783, 916
-846, 834, 1055
-864, 848, 1081
-837, 883, 1036
-802, 892, 867
-802, 892, 867
-718, 770, 743
-627, 520, 695
-562, 322, 654
-496, 123, 566
-435, 8, 351
-387, -132, 109
-307, -415, 61
-307, -415, 61
-256, -604, 128
-253, -562, 107
-239, -445, 42
-227, -349, 38
-210, -269, 113
-221, -194, 221
-354, 6, 361
-306, 68, 269
-306, 68, 269
-317, 105, 297
-368, 77, 464
-522, 173, 471
-698, 307, 385
-711, 204, 456
-751, 42, 713
-751, 42, 713
-854, 0, 846
-970, 27, 882
-1036, 93, 951
-1033, 103, 917
-1044, 84, 976
-1044, 84, 976
-1072, 122, 999
-1080, 164, 988
-1065, 152, 998
-1009, 89, 1034
-971, 60, 1034
-957, 44, 989
-911, 17, 900
-863, -96, 817
-812, -289, 790
-812, -289, 790
-779, -352, 762
-716, -357, 669
-728, -277, 630
-695, -265, 562
-657, -215, 558
-615, -134, 751
-557, 40, 756
-551, 348, 588
-561, 670, 467
-479, 740, 693
-479, 740, 693
-341, 669, 935
-452, 983, 748
-490, 1046, 603
-,-,-
86, -139, 1207
133, -153, 1135
240, -100, 886
240, -100, 886
187, -23, 832
121, -35, 1002
107, -102, 1146
166, -105, 1016
174, 18, 784
119, 103, 756
119, 103, 756
65, 54, 953
57, -15, 1086
37, -29, 1070
4, 9, 967
4, 9, 967
-62, -15, 962
-168, -39, 1109
-193, -61, 1125
-255, -16, 1102
-255, -16, 1102
-281, 19, 1034
-376, 72, 1025
-453, 108, 1031
-490, 121, 1048
-506, 161, 1018
-527, 225, 950
-558, 255, 927
-585, 314, 967
-546, 355, 953
-546, 355, 953
-468, 310, 956
-401, 292, 945
-361, 306, 899
-321, 324, 924
-245, 270, 996
-125, 170, 1027
-45, 137, 1027
-8, 145, 987
-8, 145, 987
34, 93, 961
111, -63, 1001
232, -245, 1042
388, -440, 1063
506, -592, 1028
543, -721, 1042
543, -721, 1042
553, -863, 1095
591, -970, 1078
549, -967, 1097
499, -911, 1074
367, -805, 1092
246, -737, 1087
197, -771, 1106
135, -730, 1072
35, -548, 949
-82, -329, 856
-91, -182, 759
-91, -182, 759
-97, -87, 806
-99, 92, 844
-28, 407, 950
-22, 644, 1023
14, 740, 978
14, 740, 978
-2, 783, 1042
2, 815, 1092
-35, 797, 1112
-,-,-
-120, -223, 940
-97, -192, 986
-97, -192, 986
-113, -120, 912
-67, -149, 820
-15, -226, 854
14, -208, 943
87, -85, 952
186, 83, 825
186, 83, 825
203, 265, 630
139, 303, 602
187, 151, 696
188, 93, 708
188, 93, 708
185, 99, 577
155, 5, 577
53, -200, 856
53, -200, 856
32, -454, 1112
-76, -484, 1173
-83, -564, 1136
-79, -740, 1181
-122, -925, 1334
-130, -956, 1486
-114, -908, 1457
-123, -828, 1345
-211, -713, 1318
-262, -641, 1339
-250, -576, 1311
-221, -440, 1219
-249, -242, 1121
-372, -78, 1114
-344, -78, 1129
-161, -201, 1072
-30, -236, 883
-10, -224, 708
54, -263, 611
54, -263, 611
179, -414, 642
318, -615, 661
417, -724, 705
417, -614, 702
468, -529, 630
517, -592, 702
517, -592, 702
493, -637, 778
455, -649, 782
426, -664, 787
442, -713, 765
368, -754, 833
333, -827, 860
330, -864, 816
330, -864, 816
305, -885, 823
248, -929, 939
210, -941, 994
272, -930, 918
255, -864, 901
182, -787, 1006
169, -756, 1075
169, -731, 1119
137, -574, 1028
137, -574, 1028
49, -339, 901
-79, -28, 871
-153, 182, 965
-119, 319, 936
-195, 535, 831
-300, 646, 759
-321, 490, 859
-321, 490, 859
-321, 310, 959
-308, 235, 904
